snapshot_date,index_code,index_name,baostock_code,symbol,stock_name,exchange,industry,industry_classification,is_active
2026-09-07,000300,CSI 300,sh.600000,600000.SS,浦发银行,SH,J66货币金融服务,证监会行业分类,1
2026-09-07,000300,CSI 300,sh.600009,600009.SS,上海机场,SH,G56航空运输业,证监会行业分类,1
2026-09-07,000300,CSI 300,sh.600010,600010.SS,包钢股份,SH,C31黑色金属冶炼和压延加工业,证监会行业分类,1
2026-09-07,000300,CSI 300,sh.600011,600011.SS,华能国际,SH,D44电力、热力生产和供应业,证监会行业分类,1
2026-09-07,000300,CSI 300,sh.600015,600015.SS,华夏银行,SH,J66货币金融服务,证监会行业分类,1
2026-09-07,000300,CSI 300,sh.600016,600016.SS,民生银行,SH,J66货币金融服务,证监会行业分类,1
2026-09-07,000300,CSI 300,sh.600018,600018.SS,上港集团,SH,G55水上运输业,证监会行业分类,1
2026-09-07,000300,CSI 300,sh.600019,600019.SS,宝钢股份,SH,C31黑色金属冶炼和压延加工业,证监会行业分类,1
2026-09-07,000300,CSI 300,sh.600023,600023.SS,浙能电力,SH,D44电力、热力生产和供应业,证监会行业分类,1
2026-09-07,000300,CSI 300,sh.600025,600025.SS,华能水电,SH,D44电力、热力生产和供应业,证监会行业分类,1
2026-09-07,000300,CSI 300,sh.600026,600026.SS,中远海能,SH,G55水上运输业,证监会行业分类,1
2026-09-07,000300,CSI 300,sh.600027,600027.SS,华电国际,SH,D44电力、热力生产和供应业,证监会行业分类,1
2026-09-07,000300,CSI 300,sh.600028,600028.SS,中国石化,SH,B07石油和天然气开采业,证监会行业分类,1
2026-09-07,000300,CSI 300,sh.600029,600029.SS,南方航空,SH,G56航空运输业,证监会行业分类,1
2026-09-07,000300,CSI 300,sh.600030,600030.SS,中信证券,SH,J67资本市场服务,证监会行业分类,1
2026-09-07,000300,CSI 300,sh.600031,600031.SS,三一重工,SH,C35专用设备制造业,证监会行业分类,1
2026-09-07,000300,CSI 300,sh.600036,600036.SS,招商银行,SH,J66货币金融服务,证监会行业分类,1
2026-09-07,000300,CSI 300,sh.600039,600039.SS,四川路桥,SH,E48土木工程建筑业,证监会行业分类,1
2026-09-07,000300,CSI 300,sh.600048,600048.SS,保利发展,SH,K70房地产业,证监会行业分类,1
2026-09-07,000300,CSI 300,sh.600050,600050.SS,中国联通,SH,I63电信、广播电视和卫星传输服务,证监会行业分类,1
2026-09-07,000300,CSI 300,sh.600061,600061.SS,国投资本,SH,J67资本市场服务,证监会行业分类,1
2026-09-07,000300,CSI 300,sh.600066,600066.SS,宇通客车,SH,C36汽车制造业,证监会行业分类,1
2026-09-07,000300,CSI 300,sh.600085,600085.SS,同仁堂,SH,C27医药制造业,证监会行业分类,1
2026-09-07,000300,CSI 300,sh.600089,600089.SS,特变电工,SH,C38电气机械和器材制造业,证监会行业分类,1
2026-09-07,000300,CSI 300,sh.600104,600104.SS,上汽集团,SH,C36汽车制造业,证监会行业分类,1
2026-09-07,000300,CSI 300,sh.600111,600111.SS,北方稀土,SH,C32有色金属冶炼和压延加工业,证监会行业分类,1
2026-09-07,000300,CSI 300,sh.600115,600115.SS,中国东航,SH,G56航空运输业,证监会行业分类,1
2026-09-07,000300,CSI 300,sh.600118,600118.SS,中国卫星,SH,C39计算机、通信和其他电子设备制造业,证监会行业分类,1
2026-09-07,000300,CSI 300,sh.600150,600150.SS,中国船舶,SH,C37铁路、船舶、航空航天和其他运输设备制造业,证监会行业分类,1
