snapshot_date,signal_price_date,baostock_code,symbol,stock_name,industry,close,average_amount_20,trading_age,days_since_last_trade,days_after_resumption,is_st,out_date,eligible,exclusion_reason
2019-01-01,,sh.600000,600000.SS,浦发银行,J66货币金融服务,,,,,,,,0,NO_VALID_PRICE
2019-01-01,,sh.600004,600004.SS,白云机场,G56航空运输业,,,,,,,,0,NO_VALID_PRICE
2019-01-01,,sh.600009,600009.SS,上海机场,G56航空运输业,,,,,,,,0,NO_VALID_PRICE
2019-01-01,,sh.600010,600010.SS,包钢股份,C31黑色金属冶炼和压延加工业,,,,,,,,0,NO_VALID_PRICE
2019-01-01,,sh.600011,600011.SS,华能国际,D44电力、热力生产和供应业,,,,,,,,0,NO_VALID_PRICE
2019-01-01,,sh.600015,600015.SS,华夏银行,J66货币金融服务,,,,,,,,0,NO_VALID_PRICE
2019-01-01,,sh.600016,600016.SS,民生银行,J66货币金融服务,,,,,,,,0,NO_VALID_PRICE
2019-01-01,,sh.600018,600018.SS,上港集团,G55水上运输业,,,,,,,,0,NO_VALID_PRICE
2019-01-01,,sh.600019,600019.SS,宝钢股份,C31黑色金属冶炼和压延加工业,,,,,,,,0,NO_VALID_PRICE
2019-01-01,,sh.600023,600023.SS,浙能电力,D44电力、热力生产和供应业,,,,,,,,0,NO_VALID_PRICE
2019-01-01,,sh.600025,600025.SS,华能水电,D44电力、热力生产和供应业,,,,,,,,0,NO_VALID_PRICE
2019-01-01,,sh.600027,600027.SS,华电国际,D44电力、热力生产和供应业,,,,,,,,0,NO_VALID_PRICE
2019-01-01,,sh.600028,600028.SS,中国石化,B07石油和天然气开采业,,,,,,,,0,NO_VALID_PRICE
2019-01-01,,sh.600029,600029.SS,南方航空,G56航空运输业,,,,,,,,0,NO_VALID_PRICE
2019-01-01,,sh.600030,600030.SS,中信证券,J67资本市场服务,,,,,,,,0,NO_VALID_PRICE
2019-01-01,,sh.600031,600031.SS,三一重工,C35专用设备制造业,,,,,,,,0,NO_VALID_PRICE
2019-01-01,,sh.600036,600036.SS,招商银行,J66货币金融服务,,,,,,,,0,NO_VALID_PRICE
2019-01-01,,sh.600038,600038.SS,中直股份,C37铁路、船舶、航空航天和其他运输设备制造业,,,,,,,,0,NO_VALID_PRICE
2019-01-01,,sh.600048,600048.SS,保利地产,K70房地产业,,,,,,,,0,NO_VALID_PRICE
2019-01-01,,sh.600050,600050.SS,中国联通,I63电信、广播电视和卫星传输服务,,,,,,,,0,NO_VALID_PRICE
2019-01-01,,sh.600061,600061.SS,国投资本,J67资本市场服务,,,,,,,,0,NO_VALID_PRICE
2019-01-01,,sh.600066,600066.SS,宇通客车,C36汽车制造业,,,,,,,,0,NO_VALID_PRICE
2019-01-01,,sh.600068,600068.SS,葛洲坝,Unknown,,,,,,,2021-09-13,0,NO_VALID_PRICE
2019-01-01,,sh.600085,600085.SS,同仁堂,C27医药制造业,,,,,,,,0,NO_VALID_PRICE
2019-01-01,,sh.600089,600089.SS,特变电工,C38电气机械和器材制造业,,,,,,,,0,NO_VALID_PRICE
2019-01-01,,sh.600100,600100.SS,同方股份,C39计算机、通信和其他电子设备制造业,,,,,,,,0,NO_VALID_PRICE
2019-01-01,,sh.600104,600104.SS,上汽集团,C36汽车制造业,,,,,,,,0,NO_VALID_PRICE
2019-01-01,,sh.600109,600109.SS,国金证券,J67资本市场服务,,,,,,,,0,NO_VALID_PRICE
2019-01-01,,sh.600111,600111.SS,北方稀土,C32有色金属冶炼和压延加工业,,,,,,,,0,NO_VALID_PRICE
2019-01-01,,sh.600115,600115.SS,东方航空,G56航空运输业,,,,,,,,0,NO_VALID_PRICE
2019-01-01,,sh.600118,600118.SS,中国卫星,C39计算机、通信和其他电子设备制造业,,,,,,,,0,NO_VALID_PRICE
2019-01-01,,sh.600153,600153.SS,建发股份,L72商务服务业,,,,,,,,0,NO_VALID_PRICE
2019-01-01,,sh.600157,600157.SS,永泰能源,D44电力、热力生产和供应业,,,,,,,,0,NO_VALID_PRICE
2019-01-01,,sh.600170,600170.SS,上海建工,E48土木工程建筑业,,,,,,,,0,NO_VALID_PRICE
2019-01-01,,sh.600176,600176.SS,中国巨石,C30非金属矿物制品业,,,,,,,,0,NO_VALID_PRICE
2019-01-01,,sh.600177,600177.SS,雅戈尔,C18纺织服装、服饰业,,,,,,,,0,NO_VALID_PRICE
2019-01-01,,sh.600188,600188.SS,兖州煤业,B06煤炭开采和洗选业,,,,,,,,0,NO_VALID_PRICE
2019-01-01,,sh.600196,600196.SS,复星医药,C27医药制造业,,,,,,,,0,NO_VALID_PRICE
2019-01-01,,sh.600208,600208.SS,新湖中宝,K70房地产业,,,,,,,,0,NO_VALID_PRICE
2019-01-01,,sh.600219,600219.SS,南山铝业,C32有色金属冶炼和压延加工业,,,,,,,,0,NO_VALID_PRICE
2019-01-01,,sh.600221,600221.SS,海航控股,G56航空运输业,,,,,,,,0,NO_VALID_PRICE
2019-01-01,,sh.600233,600233.SS,圆通速递,G60邮政业,,,,,,,,0,NO_VALID_PRICE
2019-01-01,,sh.600271,600271.SS,航天信息,I65软件和信息技术服务业,,,,,,,,0,NO_VALID_PRICE
2019-01-01,,sh.600276,600276.SS,恒瑞医药,C27医药制造业,,,,,,,,0,NO_VALID_PRICE
2019-01-01,,sh.600297,600297.SS,广汇汽车,Unknown,,,,,,,2024-08-28,0,NO_VALID_PRICE
2019-01-01,,sh.600309,600309.SS,万华化学,C26化学原料和化学制品制造业,,,,,,,,0,NO_VALID_PRICE
