query_date,update_date,index_code,index_name,baostock_code,symbol,stock_name,source
2019-01-01,2018-12-24,000300,CSI 300,sh.600000,600000.SS,浦发银行,baostock
2019-01-01,2018-12-24,000300,CSI 300,sh.600004,600004.SS,白云机场,baostock
2019-01-01,2018-12-24,000300,CSI 300,sh.600009,600009.SS,上海机场,baostock
2019-01-01,2018-12-24,000300,CSI 300,sh.600010,600010.SS,包钢股份,baostock
2019-01-01,2018-12-24,000300,CSI 300,sh.600011,600011.SS,华能国际,baostock
2019-01-01,2018-12-24,000300,CSI 300,sh.600015,600015.SS,华夏银行,baostock
2019-01-01,2018-12-24,000300,CSI 300,sh.600016,600016.SS,民生银行,baostock
2019-01-01,2018-12-24,000300,CSI 300,sh.600018,600018.SS,上港集团,baostock
2019-01-01,2018-12-24,000300,CSI 300,sh.600019,600019.SS,宝钢股份,baostock
2019-01-01,2018-12-24,000300,CSI 300,sh.600023,600023.SS,浙能电力,baostock
2019-01-01,2018-12-24,000300,CSI 300,sh.600025,600025.SS,华能水电,baostock
2019-01-01,2018-12-24,000300,CSI 300,sh.600027,600027.SS,华电国际,baostock
2019-01-01,2018-12-24,000300,CSI 300,sh.600028,600028.SS,中国石化,baostock
2019-01-01,2018-12-24,000300,CSI 300,sh.600029,600029.SS,南方航空,baostock
2019-01-01,2018-12-24,000300,CSI 300,sh.600030,600030.SS,中信证券,baostock
2019-01-01,2018-12-24,000300,CSI 300,sh.600031,600031.SS,三一重工,baostock
2019-01-01,2018-12-24,000300,CSI 300,sh.600036,600036.SS,招商银行,baostock
2019-01-01,2018-12-24,000300,CSI 300,sh.600038,600038.SS,中直股份,baostock
2019-01-01,2018-12-24,000300,CSI 300,sh.600048,600048.SS,保利地产,baostock
2019-01-01,2018-12-24,000300,CSI 300,sh.600050,600050.SS,中国联通,baostock
2019-01-01,2018-12-24,000300,CSI 300,sh.600061,600061.SS,国投资本,baostock
2019-01-01,2018-12-24,000300,CSI 300,sh.600066,600066.SS,宇通客车,baostock
2019-01-01,2018-12-24,000300,CSI 300,sh.600068,600068.SS,葛洲坝,baostock
2019-01-01,2018-12-24,000300,CSI 300,sh.600085,600085.SS,同仁堂,baostock
2019-01-01,2018-12-24,000300,CSI 300,sh.600089,600089.SS,特变电工,baostock
2019-01-01,2018-12-24,000300,CSI 300,sh.600100,600100.SS,同方股份,baostock
2019-01-01,2018-12-24,000300,CSI 300,sh.600104,600104.SS,上汽集团,baostock
2019-01-01,2018-12-24,000300,CSI 300,sh.600109,600109.SS,国金证券,baostock
2019-01-01,2018-12-24,000300,CSI 300,sh.600111,600111.SS,北方稀土,baostock
2019-01-01,2018-12-24,000300,CSI 300,sh.600115,600115.SS,东方航空,baostock
2019-01-01,2018-12-24,000300,CSI 300,sh.600118,600118.SS,中国卫星,baostock
2019-01-01,2018-12-24,000300,CSI 300,sh.600153,600153.SS,建发股份,baostock
2019-01-01,2018-12-24,000300,CSI 300,sh.600157,600157.SS,永泰能源,baostock
2019-01-01,2018-12-24,000300,CSI 300,sh.600170,600170.SS,上海建工,baostock
2019-01-01,2018-12-24,000300,CSI 300,sh.600176,600176.SS,中国巨石,baostock
2019-01-01,2018-12-24,000300,CSI 300,sh.600177,600177.SS,雅戈尔,baostock
2019-01-01,2018-12-24,000300,CSI 300,sh.600188,600188.SS,兖州煤业,baostock
2019-01-01,2018-12-24,000300,CSI 300,sh.600196,600196.SS,复星医药,baostock
2019-01-01,2018-12-24,000300,CSI 300,sh.600208,600208.SS,新湖中宝,baostock
2019-01-01,2018-12-24,000300,CSI 300,sh.600219,600219.SS,南山铝业,baostock
2019-01-01,2018-12-24,000300,CSI 300,sh.600221,600221.SS,海航控股,baostock
2019-01-01,2018-12-24,000300,CSI 300,sh.600233,600233.SS,圆通速递,baostock
2019-01-01,2018-12-24,000300,CSI 300,sh.600271,600271.SS,航天信息,baostock
2019-01-01,2018-12-24,000300,CSI 300,sh.600276,600276.SS,恒瑞医药,baostock
2019-01-01,2018-12-24,000300,CSI 300,sh.600297,600297.SS,广汇汽车,baostock
2019-01-01,2018-12-24,000300,CSI 300,sh.600309,600309.SS,万华化学,baostock
2019-01-01,2018-12-24,000300,CSI 300,sh.600332,600332.SS,白云山,baostock
2019-01-01,2018-12-24,000300,CSI 300,sh.600339,600339.SS,中油工程,baostock
2019-01-01,2018-12-24,000300,CSI 300,sh.600340,600340.SS,华夏幸福,baostock
2019-01-01,2018-12-24,000300,CSI 300,sh.600346,600346.SS,恒力股份,baostock
2019-01-01,2018-12-24,000300,CSI 300,sh.600352,600352.SS,浙江龙盛,baostock
2019-01-01,2018-12-24,000300,CSI 300,sh.600362,600362.SS,江西铜业,baostock
2019-01-01,2018-12-24,000300,CSI 300,sh.600369,600369.SS,西南证券,baostock
2019-01-01,2018-12-24,000300,CSI 300,sh.600372,600372.SS,中航电子,baostock
2019-01-01,2018-12-24,000300,CSI 300,sh.600383,600383.SS,金地集团,baostock
2019-01-01,2018-12-24,000300,CSI 300,sh.600390,600390.SS,五矿资本,baostock
2019-01-01,2018-12-24,000300,CSI 300,sh.600398,600398.SS,海澜之家,baostock
2019-01-01,2018-12-24,000300,CSI 300,sh.600406,600406.SS,国电南瑞,baostock
2019-01-01,2018-12-24,000300,CSI 300,sh.600415,600415.SS,小商品城,baostock
2019-01-01,2018-12-24,000300,CSI 300,sh.600436,600436.SS,片仔癀,baostock
